Table,Year,Data_item,Region,State,Value,Units
Milk cows,1971,"Milk cows, average inventory",Northeast,Massachusetts,59.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,New Hampshire,35.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,New Jersey,63.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,New York,935.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Pennsylvania,694.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Rhode Island,6.30,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Vermont,195.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Total region,2267.10,Thousand head
Milk cows,1971,"Milk cows, average inventory",Lake States,Michigan,430.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Lake States,Minnesota,942.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Lake States,Wisconsin,1822.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Lake States,Total region,3194.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Corn Belt,Illinois,289.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Corn Belt,Indiana,236.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Corn Belt,Iowa,474.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Corn Belt,Missouri,329.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Corn Belt,Ohio,441.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Corn Belt,Total region,1769.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northern Plains,Kansas,177.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northern Plains,Nebraska,171.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northern Plains,North Dakota,130.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northern Plains,South Dakota,180.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northern Plains,Total region,658.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Appalachia,Kentucky,331.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Appalachia,North Carolina,167.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Appalachia,Tennessee,272.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Appalachia,Virginia,187.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Appalachia,West Virginia,47.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Appalachia,Total region,1004.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southeast,Alabama,120.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southeast,Florida,194.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southeast,Georgia,146.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southeast,South Carolina,63.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southeast,Total region,523.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Delta States,Arkansas,97.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Delta States,Louisiana,159.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Delta States,Mississippi,168.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Delta States,Total region,424.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southern Plains,Oklahoma,140.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southern Plains,Texas,355.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Southern Plains,Total region,495.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Arizona,50.00,Thousand head
