Table,Year,Data_item,Region,State,Value,Units
Milk cows,2012,"Milk cows, average inventory",West Coast,Oregon,123.00,Thousand head
Milk cows,2012,"Milk cows, average inventory",West Coast,Washington,262.00,Thousand head
Milk cows,2012,"Milk cows, average inventory",West Coast,Total region,2167.00,Thousand head
Milk cows,2012,"Milk cows, average inventory",Other States,Alaska,0.40,Thousand head
Milk cows,2012,"Milk cows, average inventory",Other States,Hawaii,2.00,Thousand head
Milk cows,2012,"Milk cows, average inventory",Other States,Total region,2.40,Thousand head
Milk cows,2012,"Milk cows, average inventory",United States,Total region,9237.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Connecticut,18.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Delaware,4.80,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Maine,31.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Maryland,50.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Massachusetts,13.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,New Hampshire,13.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,New Jersey,7.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,New York,610.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Pennsylvania,533.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Rhode Island,0.90,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Vermont,134.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northeast,Total region,1414.70,Thousand head
Milk cows,2013,"Milk cows, average inventory",Lake States,Michigan,380.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Lake States,Minnesota,464.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Lake States,Wisconsin,1271.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Lake States,Total region,2115.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Corn Belt,Illinois,96.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Corn Belt,Indiana,176.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Corn Belt,Iowa,208.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Corn Belt,Missouri,92.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Corn Belt,Ohio,270.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Corn Belt,Total region,842.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northern Plains,Kansas,134.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northern Plains,Nebraska,54.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northern Plains,North Dakota,18.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northern Plains,South Dakota,94.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Northern Plains,Total region,300.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Appalachia,Kentucky,71.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Appalachia,North Carolina,46.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Appalachia,Tennessee,48.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Appalachia,Virginia,95.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Appalachia,West Virginia,10.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Appalachia,Total region,270.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southeast,Alabama,9.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southeast,Florida,123.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southeast,Georgia,80.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southeast,South Carolina,16.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southeast,Total region,228.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Delta States,Arkansas,9.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Delta States,Louisiana,16.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Delta States,Mississippi,14.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Delta States,Total region,39.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southern Plains,Oklahoma,45.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southern Plains,Texas,437.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Southern Plains,Total region,482.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Arizona,190.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Colorado,137.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Idaho,573.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Montana,14.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Nevada,29.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,New Mexico,323.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Utah,95.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Wyoming,6.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Mountain Region,Total region,1367.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",West Coast,California,1780.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",West Coast,Oregon,123.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",West Coast,Washington,266.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",West Coast,Total region,2169.00,Thousand head
Milk cows,2013,"Milk cows, average inventory",Other States,Alaska,0.30,Thousand head
Milk cows,2013,"Milk cows, average inventory",Other States,Hawaii,2.20,Thousand head
Milk cows,2013,"Milk cows, average inventory",Other States,Total region,2.50,Thousand head
Milk cows,2013,"Milk cows, average inventory",United States,Total region,9224.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Connecticut,19.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Delaware,4.80,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Maine,30.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Maryland,50.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Massachusetts,13.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,New Hampshire,14.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,New Jersey,7.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,New York,615.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Pennsylvania,530.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Rhode Island,0.90,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Vermont,132.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northeast,Total region,1415.70,Thousand head
Milk cows,2014,"Milk cows, average inventory",Lake States,Michigan,390.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Lake States,Minnesota,460.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Lake States,Wisconsin,1271.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Lake States,Total region,2121.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Corn Belt,Illinois,94.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Corn Belt,Indiana,178.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Corn Belt,Iowa,207.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Corn Belt,Missouri,90.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Corn Belt,Ohio,267.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Corn Belt,Total region,836.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northern Plains,Kansas,141.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northern Plains,Nebraska,54.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northern Plains,North Dakota,16.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northern Plains,South Dakota,97.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Northern Plains,Total region,308.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Appalachia,Kentucky,63.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Appalachia,North Carolina,46.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Appalachia,Tennessee,46.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Appalachia,Virginia,93.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Appalachia,West Virginia,9.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Appalachia,Total region,257.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southeast,Alabama,8.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southeast,Florida,123.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southeast,Georgia,81.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southeast,South Carolina,16.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southeast,Total region,228.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Delta States,Arkansas,7.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Delta States,Louisiana,15.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Delta States,Mississippi,13.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Delta States,Total region,35.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southern Plains,Oklahoma,40.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southern Plains,Texas,463.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Southern Plains,Total region,503.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Arizona,196.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Colorado,144.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Idaho,575.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Montana,14.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Nevada,29.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,New Mexico,323.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Utah,95.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Wyoming,6.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Mountain Region,Total region,1382.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",West Coast,California,1780.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",West Coast,Oregon,124.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",West Coast,Washington,273.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",West Coast,Total region,2177.00,Thousand head
Milk cows,2014,"Milk cows, average inventory",Other States,Alaska,0.30,Thousand head
Milk cows,2014,"Milk cows, average inventory",Other States,Hawaii,2.20,Thousand head
Milk cows,2014,"Milk cows, average inventory",Other States,Total region,2.50,Thousand head
Milk cows,2014,"Milk cows, average inventory",United States,Total region,9261.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Connecticut,19.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Delaware,5.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Maine,30.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Maryland,49.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Massachusetts,12.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,New Hampshire,14.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,New Jersey,7.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,New York,618.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Pennsylvania,530.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Rhode Island,0.90,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Vermont,132.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northeast,Total region,1416.90,Thousand head
Milk cows,2015,"Milk cows, average inventory",Lake States,Michigan,408.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Lake States,Minnesota,460.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Lake States,Wisconsin,1279.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Lake States,Total region,2147.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Corn Belt,Illinois,94.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Corn Belt,Indiana,182.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Corn Belt,Iowa,211.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Corn Belt,Missouri,88.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Corn Belt,Ohio,267.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Corn Belt,Total region,842.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northern Plains,Kansas,143.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northern Plains,Nebraska,57.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northern Plains,North Dakota,16.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northern Plains,South Dakota,106.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Northern Plains,Total region,322.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Appalachia,Kentucky,61.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Appalachia,North Carolina,47.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Appalachia,Tennessee,45.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Appalachia,Virginia,91.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Appalachia,West Virginia,9.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Appalachia,Total region,253.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southeast,Alabama,8.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southeast,Florida,125.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southeast,Georgia,83.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southeast,South Carolina,15.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southeast,Total region,231.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Delta States,Arkansas,7.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Delta States,Louisiana,14.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Delta States,Mississippi,11.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Delta States,Total region,32.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southern Plains,Oklahoma,39.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southern Plains,Texas,463.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Southern Plains,Total region,502.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Arizona,199.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Colorado,148.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Idaho,585.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Montana,14.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Nevada,29.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,New Mexico,323.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Utah,96.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Wyoming,6.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Mountain Region,Total region,1400.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",West Coast,California,1776.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",West Coast,Oregon,125.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",West Coast,Washington,277.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",West Coast,Total region,2178.00,Thousand head
Milk cows,2015,"Milk cows, average inventory",Other States,Alaska,0.30,Thousand head
Milk cows,2015,"Milk cows, average inventory",Other States,Hawaii,2.20,Thousand head
Milk cows,2015,"Milk cows, average inventory",Other States,Total region,2.50,Thousand head
Milk cows,2015,"Milk cows, average inventory",United States,Total region,9320.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Connecticut,19.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Delaware,5.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Maine,30.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Maryland,48.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Massachusetts,12.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,New Hampshire,14.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,New Jersey,7.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,New York,620.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Pennsylvania,529.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Rhode Island,0.80,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Vermont,130.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northeast,Total region,1414.80,Thousand head
Milk cows,2016,"Milk cows, average inventory",Lake States,Michigan,419.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Lake States,Minnesota,461.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Lake States,Wisconsin,1279.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Lake States,Total region,2159.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Corn Belt,Illinois,94.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Corn Belt,Indiana,184.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Corn Belt,Iowa,213.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Corn Belt,Missouri,85.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Corn Belt,Ohio,265.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Corn Belt,Total region,841.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northern Plains,Kansas,146.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northern Plains,Nebraska,60.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northern Plains,North Dakota,16.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northern Plains,South Dakota,115.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Northern Plains,Total region,337.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Appalachia,Kentucky,58.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Appalachia,North Carolina,46.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Appalachia,Tennessee,42.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Appalachia,Virginia,90.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Appalachia,West Virginia,9.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Appalachia,Total region,245.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southeast,Alabama,7.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southeast,Florida,123.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southeast,Georgia,84.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southeast,South Carolina,15.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southeast,Total region,229.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Delta States,Arkansas,6.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Delta States,Louisiana,12.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Delta States,Mississippi,10.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Delta States,Total region,28.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southern Plains,Oklahoma,37.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southern Plains,Texas,477.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Southern Plains,Total region,514.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Arizona,201.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Colorado,153.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Idaho,595.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Montana,14.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Nevada,30.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,New Mexico,315.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Utah,91.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Wyoming,6.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Mountain Region,Total region,1405.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",West Coast,California,1762.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",West Coast,Oregon,125.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",West Coast,Washington,276.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",West Coast,Total region,2163.00,Thousand head
Milk cows,2016,"Milk cows, average inventory",Other States,Alaska,0.30,Thousand head
Milk cows,2016,"Milk cows, average inventory",Other States,Hawaii,2.40,Thousand head
Milk cows,2016,"Milk cows, average inventory",Other States,Total region,2.70,Thousand head
Milk cows,2016,"Milk cows, average inventory",United States,Total region,9334.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Connecticut,19.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Delaware,5.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Maine,30.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Maryland,48.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Massachusetts,12.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,New Hampshire,13.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,New Jersey,6.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,New York,624.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Pennsylvania,525.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Rhode Island,0.80,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Vermont,129.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northeast,Total region,1411.80,Thousand head
Milk cows,2017,"Milk cows, average inventory",Lake States,Michigan,427.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Lake States,Minnesota,458.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Lake States,Wisconsin,1278.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Lake States,Total region,2163.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Corn Belt,Illinois,93.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Corn Belt,Indiana,187.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Corn Belt,Iowa,218.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Corn Belt,Missouri,85.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Corn Belt,Ohio,264.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Corn Belt,Total region,847.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northern Plains,Kansas,152.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northern Plains,Nebraska,60.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northern Plains,North Dakota,16.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northern Plains,South Dakota,117.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Northern Plains,Total region,345.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Appalachia,Kentucky,56.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Appalachia,North Carolina,45.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Appalachia,Tennessee,40.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Appalachia,Virginia,87.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Appalachia,West Virginia,8.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Appalachia,Total region,236.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southeast,Alabama,6.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southeast,Florida,124.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southeast,Georgia,84.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southeast,South Carolina,15.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southeast,Total region,229.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Delta States,Arkansas,6.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Delta States,Louisiana,12.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Delta States,Mississippi,9.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Delta States,Total region,27.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southern Plains,Oklahoma,40.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southern Plains,Texas,515.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Southern Plains,Total region,555.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Arizona,208.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Colorado,162.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Idaho,600.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Montana,13.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Nevada,32.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,New Mexico,329.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Utah,96.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Wyoming,6.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Mountain Region,Total region,1446.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",West Coast,California,1749.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",West Coast,Oregon,124.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",West Coast,Washington,274.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",West Coast,Total region,2147.00,Thousand head
Milk cows,2017,"Milk cows, average inventory",Other States,Alaska,0.30,Thousand head
Milk cows,2017,"Milk cows, average inventory",Other States,Hawaii,2.30,Thousand head
Milk cows,2017,"Milk cows, average inventory",Other States,Total region,2.60,Thousand head
Milk cows,2017,"Milk cows, average inventory",United States,Total region,9406.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Connecticut,19.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Delaware,4.80,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Maine,30.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Maryland,45.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Massachusetts,11.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,New Hampshire,12.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,New Jersey,6.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,New York,624.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Pennsylvania,519.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Rhode Island,0.70,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Vermont,127.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Northeast,Total region,1398.50,Thousand head
Milk cows,2018,"Milk cows, average inventory",Lake States,Michigan,423.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Lake States,Minnesota,453.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Lake States,Wisconsin,1274.00,Thousand head
Milk cows,2018,"Milk cows, average inventory",Lake States,Total region,2150.00,Thousand head
